ECGEpoch,ECGTimestamp,ECGValue
1755694594.6606588,20 Aug 2025 at 14:56:34,-93
1755694594.6606588,20 Aug 2025 at 14:56:34,-108
1755694594.6606588,20 Aug 2025 at 14:56:34,-118
1755694594.6606588,20 Aug 2025 at 14:56:34,-124
1755694594.6606588,20 Aug 2025 at 14:56:34,-129
1755694594.6606588,20 Aug 2025 at 14:56:34,-118
1755694594.6606588,20 Aug 2025 at 14:56:34,-99
1755694594.6606588,20 Aug 2025 at 14:56:34,-88
1755694594.6606588,20 Aug 2025 at 14:56:34,-79
1755694594.6606588,20 Aug 2025 at 14:56:34,-65
1755694594.6606588,20 Aug 2025 at 14:56:34,-63
1755694594.6606588,20 Aug 2025 at 14:56:34,-74
1755694594.6606588,20 Aug 2025 at 14:56:34,-97
1755694594.6606588,20 Aug 2025 at 14:56:34,-111
1755694594.6606588,20 Aug 2025 at 14:56:34,-106
1755694594.6606588,20 Aug 2025 at 14:56:34,-84
1755694594.6606588,20 Aug 2025 at 14:56:34,-49
1755694594.6606588,20 Aug 2025 at 14:56:34,-34
1755694594.6606588,20 Aug 2025 at 14:56:34,-36
1755694594.6606588,20 Aug 2025 at 14:56:34,-45
1755694595.262834,20 Aug 2025 at 14:56:35,-29
1755694595.262834,20 Aug 2025 at 14:56:35,140
1755694595.262834,20 Aug 2025 at 14:56:35,560
1755694595.262834,20 Aug 2025 at 14:56:35,1001
1755694595.262834,20 Aug 2025 at 14:56:35,1048
1755694595.262834,20 Aug 2025 at 14:56:35,476
1755694595.262834,20 Aug 2025 at 14:56:35,-451
1755694595.262834,20 Aug 2025 at 14:56:35,-849
1755694595.262834,20 Aug 2025 at 14:56:35,-420
1755694595.262834,20 Aug 2025 at 14:56:35,-74
1755694595.262834,20 Aug 2025 at 14:56:35,-108
1755694595.262834,20 Aug 2025 at 14:56:35,-52
1755694595.262834,20 Aug 2025 at 14:56:35,20
1755694595.262834,20 Aug 2025 at 14:56:35,-27
1755694595.262834,20 Aug 2025 at 14:56:35,-27
1755694595.262834,20 Aug 2025 at 14:56:35,15
1755694595.262834,20 Aug 2025 at 14:56:35,11
1755694595.262834,20 Aug 2025 at 14:56:35,11
1755694595.262834,20 Aug 2025 at 14:56:35,43
1755694595.262834,20 Aug 2025 at 14:56:35,52
1755694595.262834,20 Aug 2025 at 14:56:35,49
1755694595.262834,20 Aug 2025 at 14:56:35,70
1755694595.262834,20 Aug 2025 at 14:56:35,95
1755694595.262834,20 Aug 2025 at 14:56:35,104
1755694595.262834,20 Aug 2025 at 14:56:35,113
1755694595.262834,20 Aug 2025 at 14:56:35,133
1755694595.262834,20 Aug 2025 at 14:56:35,161
1755694595.262834,20 Aug 2025 at 14:56:35,188
1755694595.262834,20 Aug 2025 at 14:56:35,206
1755694595.262834,20 Aug 2025 at 14:56:35,227
1755694595.262834,20 Aug 2025 at 14:56:35,245
1755694595.262834,20 Aug 2025 at 14:56:35,249
1755694595.262834,20 Aug 2025 at 14:56:35,249
1755694595.262834,20 Aug 2025 at 14:56:35,254
1755694595.262834,20 Aug 2025 at 14:56:35,247
1755694595.262834,20 Aug 2025 at 14:56:35,233
1755694595.262834,20 Aug 2025 at 14:56:35,224
1755694595.262834,20 Aug 2025 at 14:56:35,206
1755694595.262834,20 Aug 2025 at 14:56:35,170
1755694595.262834,20 Aug 2025 at 14:56:35,133
1755694595.262834,20 Aug 2025 at 14:56:35,102
1755694595.262834,20 Aug 2025 at 14:56:35,63
1755694595.262834,20 Aug 2025 at 14:56:35,27
1755694595.262834,20 Aug 2025 at 14:56:35,-4
1755694595.262834,20 Aug 2025 at 14:56:35,-29
1755694595.262834,20 Aug 2025 at 14:56:35,-40
1755694595.262834,20 Aug 2025 at 14:56:35,-45
1755694595.262834,20 Aug 2025 at 14:56:35,-49
